crevliq,cliffvmax
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
15,0
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
30,0
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10
30,11
30,12
30,13
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
60,0
60,1
60,2
60,3
60,4
60,5
60,6
60,7
60,8
60,9
60,10
60,11
60,12
60,13
75,0
75,1
75,2
75,3
75,4
75,5
75,6
75,7
75,8
75,9
75,10
75,11
75,12
75,13
90,0
90,1
90,2
90,3
90,4
90,5
90,6
90,7
90,8
90,9
90,10
90,11
90,12
90,13
105,0
105,1
105,2
105,3
105,4
105,5
105,6
105,7
105,8
105,9
105,10
105,11
105,12
105,13
120,0
120,1
120,2
120,3
120,4
120,5
120,6
120,7
120,8
120,9
120,10
120,11
120,12
120,13
135,0
135,1
135,2
135,3
135,4
135,5
135,6
135,7
135,8
135,9
135,10
135,11
135,12
135,13
150,0
150,1
150,2
150,3
150,4
150,5
150,6
150,7
150,8
150,9
150,10
150,11
150,12
150,13
165,0
165,1
165,2
165,3
165,4
165,5
165,6
165,7
165,8
165,9
165,10
165,11
165,12
165,13
180,0
180,1
180,2
180,3
180,4
180,5
180,6
180,7
180,8
180,9
180,10
180,11
180,12
180,13
195,0
195,1
195,2
195,3
195,4
195,5
195,6
195,7
195,8
195,9
195,10
195,11
195,12
195,13

